word,counts,word_level
provide,2,1.0
flip,2,3.0
prove,2,2.0
flight,2,1.0
original,2,1.0
ooze,2,4.0
skeleton,2,3.0
fit,2,1.0
wide,2,1.0
greet,2,1.0
tree,2,1.0
signal,2,2.0
significance,2,3.0
anniversary,2,2.0
silence,2,2.0
officer,2,1.0
google,2,5.0
purpose,2,1.0
trap,2,3.0
ok,2,1.0
angle,2,2.0
punishment,2,2.0
glad,2,2.0
transition,2,2.0
gift,2,1.0
clear,2,1.0
gauge,2,3.0
sister,2,1.0
gate,2,1.0
gap,2,1.0
gang,2,2.0
game,2,1.0
gag,2,3.0
proud,2,2.0
freak,2,3.0
commercial,2,2.0
faker,2,6.0
ahead,2,2.0
fight,2,1.0
procedure,2,2.0
famous,2,1.0
fancy,2,2.0
proceed,2,2.0
paint,2,1.0
agency,2,2.0
company,2,1.0
fee,2,2.0
toilet,2,1.0
favourite,2,3.0
spare,2,3.0
south,2,1.0
witch,2,3.0
fall,2,1.0
common,2,1.0
ours,2,2.0
spectator,2,3.0
afterlife,2,5.0
firm,2,2.0
outfit,2,3.0
fail,2,1.0
aim,2,2.0
witness,2,2.0
zone,1,2.0
wig,1,3.0
voluntary,1,3.0
pornographic,1,5.0
portfolio,1,3.0
portion,1,3.0
rank,1,2.0
reduction,1,2.0
pop,1,1.0
reference,1,2.0
rating,1,3.0
quarter,1,1.0
reduce,1,1.0
red,1,1.0
wack,1,6.0
recruitment,1,3.0
regular,1,1.0
waddle,1,6.0
processor,1,3.0
pose,1,2.0
presumptuous,1,6.0
willing,1,2.0
zinger,1,6.0
widget,1,5.0
regard,1,2.0
wonky,1,6.0
ratify,1,3.0
reform,1,2.0
wicked,1,3.0
pursue,1,2.0
western,1,2.0
rate,1,1.0
pool,1,1.0
popularity,1,2.0
popularly,1,4.0
population,1,1.0
reconstruction,1,3.0
reflection,1,3.0
pore,1,3.0
quad,1,5.0
previous,1,2.0
vulnerable,1,3.0
refuse,1,1.0
yesterday,1,1.0
protest,1,2.0
range,1,2.0
wing,1,2.0
progress,1,1.0
promise,1,1.0
wise,1,2.0
prompt,1,3.0
post,1,1.0
prop,1,3.0
postcode,1,5.0
watershed,1,3.0
