words,counts
numb,1
odd,1
offenders,1
offense,1
officers,1
official,1
ongoing,1
opening,1
notice,1
operate,1
ops,1
orange,1
order,1
organs,1
otherwise,1
outfit,1
nuke,1
normative,1
limit,1
needs,1
nail,1
nasa,1
natural,1
nature,1
necessarily,1
necessary,1
needed,1
nephew,1
non,1
newest,1
news,1
nicastro,1
nigger,1
niggers,1
nights,1
nine,1
outstanding,1
overnight,1
overtime,1
photograph,1
patrick,1
peckers,1
pederast,1
pedigree,1
peels,1
penis,1
person,1
picture,1
owns,1
pieces,1
pigs,1
pipe,1
pissant,1
plainclothes,1
plastic,1
players,1
past,1
passing,1
passed,1
pass,1
pace,1
paged,1
pail,1
pain,1
painful,1
pal,1
panic,1
pants,1
paper,1
parade,1
paradox,1
parent,1
parquet,1
particles,1
particular,1
muscle,1
murders,1
murdering,1
mafia,1
losing,1
lots,1
lovely,1
lox,1
lungs,1
lynn,1
machine,1
maggot,1
mary,1
magnet,1
major,1
makeup,1
mall,1
march,1
marginally,1
marriage,1
losers,1
lose,1
lorazepam,1
looks,1
limited,1
lincoln,1
linking,1
liquor,1
list,1
listening,1
literally,1
lives,1
loaded,1
loaves,1
lobster,1
location,1
locked,1
log,1
longer,1
mart,1
massive,1
murderers,1
moron,1
model,1
mole,1
mom,1
moments,1
monaco,1
month,1
mop,1
moved,1
mayo,1
movers,1
moves,1
mrs,1
mud,1
mugs,1
murder,1
murdered,1
mistake,1
missing,1
missile,1
minute,1
mayor,1
meal,1
means,1
medical,1
meetings,1
members,1
mental,1
mess,1
messy,1
mick,1
micro,1
middle,1
miles,1
military,1
mine,1
lee,1
