Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
accoutrement,NN,0,0,NN,N,N,N,N,C2,C3,0.0,True,False,6.0,NN,
accredit,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
accreditation,NN,0,0,NN,N,N,N,N,C1,B3,0.0,True,False,5.0,NN,
accrete,NN,0,0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,NN,
accretion,NN,0,9,science,N,N,N,N,C1,NN,0.0,True,False,5.0,NN,
accretionary,NN,0,0,NN,N,N,N,N,C5,NN,0.0,False,False,6.0,NN,
accrual,NN,0,0,NN,N,N,N,Y,C1,NN,0.0,True,False,4.0,NN,
accrue,NN,0,0,NN,N,N,N,Y,B2,B3,0.0,True,False,3.0,NN,
acculturate,NN,0,0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,NN,
acculturation,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
accumulate,C1,5000,0,NN,N,Y,Y,Y,A4,A4,1.0,True,False,3.0,C1,
accumulation,C1,5000,9,science,N,Y,N,Y,A4,A4,1.0,True,False,3.0,C2,
accumulative,NN,0,0,NN,N,N,N,N,C4,C2,0.0,False,False,6.0,NN,
accumulator,NN,0,0,NN,N,N,N,N,C3,C3,0.0,True,False,6.0,NN,
accuracy,B2,5000,5,general,N,Y,Y,Y,A4,A4,1.0,True,False,3.0,B2,
accurate,B2,3000,4,general,Y,N,N,N,A3,A2,2.0,True,False,2.0,B2,
accurately,B2,5000,6,general,N,Y,Y,Y,A4,A4,1.0,False,False,3.0,B2,
accurse,NN,0,0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,NN,
accursed,NN,0,9,social_studies,N,N,N,N,NN,NN,1.0,False,False,4.0,NN,
accusation,C1,5000,6,social_studies,N,N,N,Y,B1,B1,1.0,True,False,3.0,C1,
accusative,NN,0,0,NN,N,N,N,N,C2,NN,0.0,True,False,6.0,NN,
accusatory,NN,0,0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,NN,
accuse,B2,3000,5,social_studies,N,N,N,N,A2,A2,2.0,True,False,2.0,B2,legal_terms
accused,C1,5000,0,NN,N,N,N,N,NN,NN,0.0,True,False,4.0,NN,
accuser,NN,0,0,NN,N,N,N,N,C1,B3,0.0,True,False,5.0,NN,
accusingly,NN,0,0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,NN,
accustom,NN,0,0,NN,N,Y,Y,N,B1,B1,1.0,True,False,3.0,NN,
ace,NN,0,0,NN,N,N,N,N,B2,B1,1.0,True,False,3.0,NN,
acerbic,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,6.0,NN,
acetaldehyde,NN,0,0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,NN,
acetaminophen,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,NN,
acetate,NN,0,9,science,N,N,N,N,C1,C1,0.0,True,False,5.0,NN,
acetic,NN,0,9,science,N,N,N,N,C2,NN,0.0,False,False,6.0,NN,
