title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max
The.Family.Man,0.38478462935100355,0.2733987723157413,0.21114355995512432,0.30154977789312176,0.20690095486467291,0.144245015268083,3.181521074895427,1.1242363175914984,0.5628095452498875,6.741573033707866
The.Good.Doctor,0.06477806479326897,0.26214242643418934,0.2909715629460582,0.3279088630106361,0.49091609546512677,0.6907297286772526,2.908974338651761,1.2592774062320549,0.5212405525149857,7.993605115907274
The.Intern,0.4813016418525197,0.36609424081220354,0.29572573960521964,0.26341848243482363,0.3797540055765135,0.41311624276484504,3.619497217927925,1.3750000670779758,0.8059641345960105,9.225092250922508
The.Judge,0.30790152813636446,0.2792932213556364,0.24972373294887096,0.42102323826985383,0.19392427281543353,0.30498320228393394,2.512169678628489,1.1252548632576154,0.5268703898840885,6.476683937823834
The.Revenant,0.11099621889419795,0.0,0.02994592754244453,0.04445372734403743,0.07677403286400485,0.04354419143998476,2.7593453445301184,0.9595181088663502,0.685048809727693,6.849315068493151
The.Social.Dilemma,0.6851918958880417,0.8788591654603399,0.6284068184929631,0.40713415349445026,0.5003003039619828,0.524667542746479,3.225596290005984,0.8280224750015507,0.6284139797940735,5.9940059940059935
The.Truman.Show,0.3701133004882278,0.1583312091813806,0.16260363567689926,0.21749541880743634,0.15356313623282616,0.08306836388693123,2.5428206604132817,1.1513250760758196,0.6309148264984227,7.534246575342466
There.Will.Be.Blood,0.16650994275262554,0.10442344289988979,0.06094384129301352,0.10320313945709254,0.05055889372881559,0.16740916304276945,2.341123374057742,1.0154959884577597,0.5641748942172073,6.594724220623501
Three.Identical.Strangers,0.554144589788528,0.43880828108319275,0.3113728743996441,0.3057351159725637,0.30569598610796017,0.2880399793534662,3.051840629585544,1.0335575527587186,0.7365939893930465,7.733952049497295
Virunga,0.40878967290168405,0.31666411054935717,0.1721140384103251,0.1555410547009537,0.12415308471565892,0.08865834414801946,2.318064716973834,0.8827641682420921,0.625,6.8181818181818175
What.the.Health,0.8290357833213078,1.0,1.0,0.9150527328145563,1.0,1.0,3.1002636671252484,0.8510337473243085,0.7990411506192568,7.084468664850137
Zodiac,0.36434025017338906,0.3238450430232942,0.2907035911607465,0.43467102886522274,0.31741099324746236,0.407722706763841,3.030727994432257,0.9701730664126664,0.5381165919282511,7.3778051029818625
