Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
unapologetic,NN,0,0,NN,N,N,N,N,C3,C2,0.0,False,False,12,NN,NN
prayerful,NN,0,0,NN,N,N,N,N,C5,C2,0.0,False,False,12,NN,NN
usefully,NN,0,0,NN,N,N,N,N,B3,C2,0.0,False,False,12,NN,NN
squish,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
retry,NN,0,0,NN,N,N,N,N,C3,C1,0.0,True,False,12,NN,NN
unanticipated,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
retrovirus,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
stabilizer,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
stable-condition,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,12,NN,medical
unannounced,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
squirm,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
unafraid,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
urine-sample,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,12,NN,medical
