Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
allocate,C1,5000,9,social_studies,N,N,Y,Y,A4,A4,0.0,True,False,4,C1,social_studies
remedy,C1,5000,0,NN,N,Y,N,Y,B1,B1,1.0,True,False,4,B2,NN
up-to-speed,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
vein,C1,5000,5,science,N,Y,N,N,A4,A4,1.0,True,False,4,C1,medical
audit,C1,5000,0,NN,N,N,Y,Y,A3,A3,0.0,True,False,4,NN,NN
win,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,4,C1,NN
premises,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
premise,C1,5000,9,general,N,N,N,N,A2,A3,1.0,True,False,4,NN,general
thought-provoking,C1,5000,0,NN,N,N,N,N,NN,NN,0.0,True,,4,NN,NN
premier,C1,5000,6,social_studies,N,N,N,Y,B1,B1,1.0,True,False,4,NN,social_studies
whip,C1,5000,0,NN,N,N,N,N,B1,B1,1.0,True,False,4,NN,NN
upward,B2,3000,0,NN,N,Y,N,Y,A3,A4,2.0,True,False,4,C1,NN
coal,B1,3000,2,science,N,N,N,N,A3,A2,2.0,True,False,4,C1,science
artillery,NN,0,5,social_studies,N,N,N,N,B2,B2,1.0,True,False,4,NN,social_studies
salutation,NN,0,4,social_studies,N,N,N,N,C2,C2,1.0,True,False,4,NN,social_studies
beat-around-the-bush,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
scholarship,B2,5000,0,NN,N,Y,Y,N,A4,A4,1.0,True,False,4,C1,NN
capacity,B2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,4,C1,NN
undertake,B2,5000,0,NN,N,N,N,N,A3,A3,1.0,True,False,4,C1,NN
scholar,B2,5000,4,social_studies,N,N,N,N,A3,A3,1.0,True,False,4,C1,social_studies
